name,px,py,lon,lat
Brouwershaven,2400,350,3.91255,51.72560
Zierikzee,2365,529,3.92084,51.64977
Steenbergen,3217,618,4.30925,51.60329
Veere,1638,633,3.57727,51.55640
Kortgene,2238,762,3.80192,51.55617
Arnemuiden,1650,904,3.67625,51.50000
Bergen op Zoom,3212,941,4.28715,51.49448
Middelburg,1567,1013,3.61374,51.49968
Goes,2256,1028,3.88976,51.50310
Tholen,2625,1111,4.07614,51.57085
Vlissingen,1581,1123,3.56980,51.44809
Zandvliet,3222,1387,4.30868,51.35997
Oostburg,1319,1558,3.48955,51.32719
Sluis,999,1658,3.51663,51.32566
Aardenburg,1349,1763,3.44969,51.27366
Damme,733,1825,3.28148,51.25150
Brugge,592,1874,3.22677,51.20855
Maldegem,983,1978,3.44522,51.20889
Antwerpen,3427,2004,4.39971,51.22111
Eeklo,1543,2058,3.56653,51.19102
